t,b
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageExternalLink
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://dbpedia.org/property/name
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://xmlns.com/foaf/0.1/isPrimaryTopicOf
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://www.w3.org/ns/provwasDerivedFrom
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://dbpedia.org/ontology/abstract
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://dbpedia.org/property/hostCity
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://dbpedia.org/property/date
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://dbpedia.org/property/edition
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://dbpedia.org/property/next
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://dbpedia.org/property/races
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://dbpedia.org/property/organisers
http://dbpedia.org/resource/2011_African_Cross_Country_Championships,http://purl.org/linguistics/gold/hypernym
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://www.w3.org/2000/01/rdf-schemalabel
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://www.w3.org/2000/01/rdf-schemacomment
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://www.w3.org/2002/07/owlsameAs
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://purl.org/dc/terms/subject
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageExternalLink
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/property/name
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://xmlns.com/foaf/0.1/isPrimaryTopicOf
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://www.w3.org/ns/provwasDerivedFrom
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/ontology/abstract
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/property/hostCity
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/property/date
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/property/edition
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/property/next
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/property/previous
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/property/races
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/property/athletesParticipating
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/property/nationsParticipating
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://dbpedia.org/property/organisers
http://dbpedia.org/resource/2012_African_Cross_Country_Championships,http://purl.org/linguistics/gold/hypernym
http://dbpedia.org/resource/21_Savage,http://www.w3.org/2000/01/rdf-schemalabel
http://dbpedia.org/resource/21_Savage,http://www.w3.org/2000/01/rdf-schemacomment
http://dbpedia.org/resource/21_Savage,http://www.w3.org/2002/07/owlsameAs
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/birthDate
http://dbpedia.org/resource/21_Savage,http://purl.org/dc/terms/subject
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/wikiPageExternalLink
http://dbpedia.org/resource/21_Savage,http://xmlns.com/foaf/0.1/name
http://dbpedia.org/resource/21_Savage,http://xmlns.com/foaf/0.1/homepage
http://dbpedia.org/resource/21_Savage,http://xmlns.com/foaf/0.1/givenName
http://dbpedia.org/resource/21_Savage,http://xmlns.com/foaf/0.1/gender
http://dbpedia.org/resource/21_Savage,http://xmlns.com/foaf/0.1/isPrimaryTopicOf
http://dbpedia.org/resource/21_Savage,http://www.w3.org/ns/provwasDerivedFrom
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/abstract
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/activeYearsStartYear
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/alias
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/associatedBand
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/associatedMusicalArtist
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/background
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/genre
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/instrument
http://dbpedia.org/resource/21_Savage,http://dbpedia.org/ontology/occupation
http://dbpedia.org/resource/21st_Hapilos_Digital,http://www.w3.org/2000/01/rdf-schemalabel
http://dbpedia.org/resource/21st_Hapilos_Digital,http://www.w3.org/2000/01/rdf-schemacomment
http://dbpedia.org/resource/21st_Hapilos_Digital,http://www.w3.org/2002/07/owlsameAs
http://dbpedia.org/resource/21st_Hapilos_Digital,http://purl.org/dc/terms/subject
http://dbpedia.org/resource/21st_Hapilos_Digital,http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/21st_Hapilos_Digital,http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/21st_Hapilos_Digital,http://xmlns.com/foaf/0.1/isPrimaryTopicOf
http://dbpedia.org/resource/21st_Hapilos_Digital,http://www.w3.org/ns/provwasDerivedFrom
http://dbpedia.org/resource/21st_Hapilos_Digital,http://dbpedia.org/ontology/abstract
http://dbpedia.org/resource/21st_Hapilos_Digital,http://purl.org/linguistics/gold/hypernym
http://dbpedia.org/resource/24-Carat_Black,http://www.w3.org/2000/01/rdf-schemalabel
http://dbpedia.org/resource/24-Carat_Black,http://www.w3.org/2000/01/rdf-schemacomment
http://dbpedia.org/resource/24-Carat_Black,http://www.w3.org/2002/07/owlsameAs
http://dbpedia.org/resource/24-Carat_Black,http://purl.org/dc/terms/subject
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/24-Carat_Black,http://xmlns.com/foaf/0.1/name
http://dbpedia.org/resource/24-Carat_Black,http://xmlns.com/foaf/0.1/isPrimaryTopicOf
http://dbpedia.org/resource/24-Carat_Black,http://www.w3.org/ns/provwasDerivedFrom
